"Mode","Frequency / Cm^-1","IR Intensity / <Gulp Units>","Raman Intensity / <Gulp Units>"
"665","2943.8922","0.0","0.0"
"666","2943.9005","0.0001","0.0"
"667","2943.9555","0.0008","0.0"
"668","2943.9556","0.0004","0.0"
"669","2943.9929","0.0","0.0"
"670","2943.9937","0.0","0.0"
"671","2944.0178","0.0002","0.0"
"672","2944.1179","0.0001","0.0"
"673","2944.1236","0.0","0.0"
"674","2944.1428","0.0013","0.0"
"675","2944.1878","0.0055","0.0002"
"676","2944.1883","0.011","0.0"
"677","2944.1966","0.0045","0.0"
"678","2944.2025","0.1581","0.0"
"679","2944.2029","0.1569","0.0"
"680","2944.244","0.001","0.0001"
"681","2944.318","0.0003","0.0002"
"682","2944.3182","0.0","0.0"
"683","2944.3381","0.0","0.0"
"684","2944.3486","0.0552","0.002"
"685","2944.352","0.0052","0.0"
"686","2944.3535","0.0006","0.0"
"687","2944.3612","0.0097","0.0"
"688","2944.3615","0.0326","0.0008"
"689","2944.3677","0.0004","0.0"
"690","2944.4138","0.0","0.0"
"691","2944.4855","0.0","0.0"
"692","2944.5634","0.0","0.0"
"693","2944.6229","0.0001","0.0"
"694","2944.623","0.0002","0.0"
"695","2944.6263","0.0449","0.0"
"696","2944.6264","0.0448","0.0"
"697","2944.7147","0.0025","0.0"
"698","2944.7148","0.0025","0.0"
"699","2944.7245","0.0","0.0"
"700","2944.7246","0.0","0.0"
"701","2945.3807","0.0","0.0032"
"702","2945.4053","0.0","0.0295"
"703","2945.4204","0.0","0.0"
"704","2945.4225","0.0","0.1925"
"705","2945.4581","0.0","0.0025"
"706","2945.4588","0.0","0.0"
"707","2945.4774","0.0","15.0824"
"708","2945.4941","0.0","0.576"
"709","2945.7889","0.0","0.0"
"710","2945.8235","0.0","0.0"
"711","2945.8684","0.0","0.0"
"712","2945.9351","0.0","0.4663"
"713","3695.4767","0.0001","0.0001"
"714","3695.6738","0.0193","0.0014"
"715","3695.9981","0.1023","0.0"
"716","3696.0298","0.0888","0.0011"
"717","3696.2543","0.0664","0.0"
"718","3696.5125","0.0732","0.0232"
"719","3697.6108","0.0245","1.3925"
"720","3697.803","0.0039","0.815"
"721","-0.0","0.0","0.0"
"722","-0.0","0.0","0.0"
"723","0.0","0.0","0.0"
"724","224.4352","0.0","0.0"
"725","383.4074","0.0","0.0"
"726","401.3659","0.946","0.0"
"727","401.3659","0.946","0.0"
"728","485.6588","0.0","0.0"
"729","485.6588","0.0","0.0"
"730","553.0495","1.6683","0.0"
"731","601.4219","0.5798","0.0"
"732","601.4219","0.5798","0.0"
"733","671.9856","0.0","0.0"
"734","674.3965","0.0","0.0"
"735","718.6155","0.1426","0.0"
"736","718.6155","0.1426","0.0"
"737","778.4613","0.0","0.0"
"738","1003.5913","0.0","0.0"
